code,description
33364,REPLACE AORTIC VALVE OPEN ILIAC ARTERY APPROACH
33365,REPLACE AORTIC VALVE OPEN TRANSAORTIC APPROACH
33366,TRANSCATHETER TRANSAPICAL REPLACEMT AORTIC VALVE
33367,REPLACE AORTIC VALVE W/BYP PRQ ART/VENOUS APPRCH
33368,REPLACE AORTIC VALVE W/BYP OPEN ART/VENOUS APRCH
33369,REPLACE AORTA VALVE W/BYP CNTRL ART/VENOUS APRCH
33390,VALVULOPLASTY AORTIC VALVE OPEN CARD BYP SIMPLE
33391,VALVULOPLASTY AORTIC VALVE OPEN CARD BYP COMPLEX
33400,"Repair of left lower heart valve on heart-lung machine, open procedure (Deprecated) "
33401,Open valvuloplasty of aortic valve with inflow occlusion (Deprecated) 
33403,"Valvuloplasty, aortic valve; using transventricular dilation, with cardiopulmonary bypass (Deprecated) "
33404,CONSTRUCTION APICAL-AORTIC CONDUIT
33405,RPLCMT PROST AORTIC VALVE OPEN XCP HOMOGRF/STENT
33406,RPLCMT AORTIC VALVE OPN ALLOGRAFT VALVE FREEHAND
3340F,MAMMO ASSESSMENT CAT INCOMP ADDTNL IMAGE DOCD
33410,RPLCMT AORTIC VALVE OPN W/STENTLESS TISSUE VALVE
33411,RPLCMT AORTIC VALVE ANNULUS ENLGMENT NONC SINUS
33412,REPLACEMENT AORTIC VALVE KONNO PROCEDURE
33413,REPLACEMENT AORTIC&PULMON VALVES ROSS PROCEDUR
33414,RPR VENTR O/F TRC OBSTRCJ PATCH ENLGMENT O/F TRC
33415,RESECTION/INCISION SUBVALVULAR TISSUE
33416,VENTRICULOMYOTOMY-MYECTOMY
33417,Repair of aorta at heart
33418,TCAT MITRAL VALVE REPAIR INITIAL PROSTHESIS
33419,TCAT MITRAL VALVE REPAIR ADDL PROSTHESIS
3341F,MAMMO ASSESSMENT CAT NEGATIVE DOCD
33420,Closed heart mitral valvotomy
33422,VALVOTOMY MITRAL VALVE OPEN HEART W/BYPASS
33425,VALVULOPLASTY MITRAL VALVE W/CARDIAC BYPASS
33426,VLVP MITRAL VALVE W/CARD BYP W/PROSTC RING
33427,VLVP MITRAL VALVE W/BYPASS RAD RCNSTJ W/WO RING
3342F,MAMMO ASSESSMENT CAT BENIGN DOCD
33430,REPLACEMENT MITRAL VALVE W/CARDIOPULMONARY BYP
3343F,MAMMO ASSESSMENT CAT PROB BENIGN DOCD
33440,RPLCMT AORTIC VALVE BY TLCJ AUTOL PULM VALVE
3344F,MAMMO ASSESSMENT CAT SUSPICIOUS DOCD
3345F,MAMMO ASSESSMENT CAT HIGH CHANCE MALIG DOCD
33460,Tricuspid valvectomy with cardiopulmonary bypass
33463,Tricuspid valvuloplasty
33464,Tricuspid valvuloplasty using prosthetic ring
33465,REPLACEMENT TRICUSPID VALVE W/CARD BYPASS
33468,TRICUSPID VALVE RPSG&PLCTJ EBSTEIN ANOMALY
33470,VALVOTOMY PULMONARY VALVE CLSD HEART TRANSVENTR
33471,VALVOTOMY PULM VALVE CLSD HEART VIA PULM ARTERY
33472,"Incision of valve at right lower heart chamber, open procedure (Deprecated) "
33474,VALVOTOMY PULMONARY VALVE OPEN HEART W/BYPASS
33475,REPLACEMENT PULMONARY VALVE
33476,R VENTRIC RESCJ INFUND STEN W/WO COMMISSUROTOMY
33477,TCAT PULMONARY VALVE IMPLANTATION PRQ APPROACH
33478,Outflow tract augmentation using gusset
33496,RPR NON-STRUCT PROSTC VALVE DYSFUNCTION W/BYPASS
33500,RPR CORONARY AV/ARTERIOCAR CHMBR FSTL W/BYPASS
33501,Repair of coronary arteriovenous fistula
33502,Repair of abnormal heart artery
33503,RPR ANOM CORONARY ARTERY PULM ART ORIGIN GRAFT
33504,RPR ANOM CORONARY ART PULM ART ORIGIN GRF W/BYP
33505,RPR ANOM CORON ART W/CONSTJ INTRAPULM ART TUNNEL
33506,RPR ANOM CORONARY ART FROM PULM ART TO AORTA
33507,RPR ANOM AORTIC ORIGIN CORONARY ART UNROOF/TLCJ
33508,NDSC SURG W/VIDEO-ASSISTED HARVEST VEIN CABG
3350F,MAMMO ASSESSMENT CAT BIOPSY PROVEN MALIG DOCD
33510,"Heart artery bypass, single"
33511,"Heart artery bypass , 2 grafts"
33512,"Heart artery bypass , 3 grafts"
33513,"Heart artery bypass , 4 grafts"
33514,"Heart artery bypass , 5 grafts"
33516,"Heart artery bypass , 6 or more grafts"
33517,Combined vein and artery heart artery bypass
33518,CORONARY ARTERY BYP W/VEIN & ARTERY GRAFT 2 VEIN
33519,CORONARY ARTERY BYP W/VEIN & ARTERY GRAFT 3 VEIN
3351F,NEG DEP SYMP CAT USING STAND DEP ASSESS TOOL
33521,CORONARY ARTERY BYP W/VEIN & ARTERY GRAFT 4 VEIN
33522,CORONARY ARTERY BYP W/VEIN & ARTERY GRAFT 5 VEIN
33523,CORONARY ARTERY BYP W/VEIN &ARTERY GRAFT 6 VEIN
3352F,NO SIGNIF DEP SYMP CAT BY STAND DEP ASSESS TOOL
33530,ROPRTJ CAB/VALVE PX > 1 MO AFTER ORIGINAL OPERJ
33533,"Heart artery bypass, single graft"
33534,"Heart artery bypass, 2 grafts"
33535,"Heart artery bypass, 3 grafts"
33536,"Heart artery bypass, 4 or more grafts"
3353F,MILD TO MOD DEP SYMP BY STAND DEP ASSESS TOOL
33542,MYOCARDIAL RESECTION
33545,RPR POSTINFRCJ VENTRICULAR SEPTAL DEFECT
33548,Surgical ventricular restoration procedure
3354F,CLIN SIGN DEP SYMP BY STAND DEP ASSESS TOOL
33572,CORONARY ENDARTERCOMY OPEN ANY METHOD
33600,Closure of mitral valve using patch
33602,Closure of aortic valve using patch
33606,Anastomosis of pulmonary artery to aorta
33608,RPR CAR ANOMAL XCP PULM ATRESIA VENTR SEPTL DFCT
33610,RPR CAR ANOMAL SURG ENLGMENT VENTR SEPTL DFCT
33611,RPR 2 OUTLET R VNTRC W/INTRAVENTR TUNNEL RPR
33612,RPR 2 OUTLET R VNTRC RPR R VENTR O/F TRC OBSTRCJ
33615,RPR CAR ANOMAL CLSR SEPTL DFCT SMPL FONTAN PX
33617,RPR COMPLEX CARDIAC ANOMALY MODIFIED FONTAN PX
33619,RPR 1 VNTRC W/O/F OBSTRCJ&AORTIC ARCH HYPOPLAS
33620,APPLICATION RIGHT & LEFT PULMONARY ARTERY BAND
33621,TRANSTHORACIC CATHETER INSERTION FOR STENT PLMT
33622,RECONSTRUCTION COMPLEX CARDIAC ANOMALY
33641,RPR ATRIAL SEPTAL DFCT SECUNDUM W/BYP W/WO PATCH
33645,Direct closure of sinus venosus
33647,RPR ATRIAL & VENTRIC SEPTAL DFCT DIR/PATCH CLS
33660,Repair of partial atrioventricular canal
33665,RPR INTRM/TRANSJ AV CANAL W/WO AV VALVE RPR
33670,RPR COMPL AV CANAL W/WO PROSTC VALVE
33675,CLOSURE MULTIPLE VENTRICULAR SEPTAL DEFECTS
33676,CLOSURE MULTIPLE VSD W/RESECTION
33677,CLOSURE MULTIPLE VSD W/REMOVAL ARTERY BAND
33681,Closure of single ventricular septal defect
33684,CLSR V-SEPTL DFCT W/PULM VLVT/INFUND RESCJ
33688,CLSR V-SEPTAL DFCT W/RMVL P-ART BAND W/WO GUSSET
33690,BANDING PULMONARY ARTERY
33692,Complete repair of tetralogy of Fallot
33694,COMPL RPR T-FALLOT W/O PULM ATRESIA TANULR PATCH
33697,COMPL RPR T-FALLOT W/PULM ATRESIA
33702,RPR SINUS VALSALVA FISTULA
3370F,AJCC BREAST CANCER STAGE 0 DOCUMENTED
33710,RPR SINUS VALSALVA FISTULA W/RPR V-SEPTAL DEFECT
33720,RPR SINUS VALSALVA ANEURYSM
33722,CLOSURE AORTICO-LEFT VENTRICULAR TUNNEL
33724,REPAIR ISOLATED PARTIAL PULM VENOUS RETURN
33726,REPAIR PULMONARY VENOUS STENOSIS
3372F,AJCC BREAST CANCER STAGE I T1MIC T1A/T1B
33730,COMPLETE RPR ANOMALOUS PULMONARY VENOUS RETURN
33732,RPR COR TRIATM/SUPVALVR RING RESCJ L ATRIAL MEMB
33735,Closed heart atrial septectomy
33736,ATRIAL SEPTECTOMY/SEPTOSTOMY OPEN HEART W/BYPASS
33737,ATRIAL SEPTECT/SEPTOST OPN HRT W/INFL OCCLUSION
33741,TAS CONGENITAL CARDIAC ANOMALIES ANY METHOD
33745,TIS CRTJ ST CONGENITAL CARDIAC ANOMAL 1ST SHUNT
33746,TIS CRTJ ST CONGENITAL CARDIAC ANOMAL EA ADDL
3374F,AJCC BREAST CANCER STAGE I T1C
33750,SHUNT SUBCLAVIAN PULMONARY ARTERY
33755,SHUNT ASCENDING AORTA PULMONARY ARTERY
33762,SHUNT DESCENDING AORTA PULMONARY ARTERY
33764,SHUNT CENTRAL W/PROSTHETIC GRAFT
33766,SHUNT SUPERIOR VENA CAVA PULMONARY ART 1 LUNG
33767,SHUNT SUPERIOR VENA CAVA PULM ARTERY BOTH LUNGS
33768,Removal of congenital extra vena cava
3376F,AJCC BREAST CANCER STAGE II
33770,RPR TRPOS GREAT VSLS W/O ENLGMNT V-SEPTL DFCT
33771,RPR TRPOS GREAT VSLS W/ENLGMNT V-SEPTL DFCT
33774,RPR TRPOS GREAT VSLS ATRIAL BAFFLE PX W/BYPASS
33775,RPR TRPOS GREAT VSLS ATR BAFFLE W/RMVL PULM BAND
33776,RPR TRPOS GRT VSL ATR BAFFLE W/CLSR V-SEPTL DFCT
33777,RPR TRPOS GRT VSL ATR BAFFLE W/BYP SBPULM OBSTRC
33778,RPR TRPOS GRT VESSEL AORTIC PULMONARY ART RCNSTJ
33779,RPR TGV AORTIC PULM ART RCNSTJ W/RMVL PULM BAND
33780,RPR TGV AORTIC P-ART RCNSTJ W/CLSR V-SEPTL DFCT
33781,RPR TGV AORTIC P-ART RCNSTJ RPR SBPULMC OBSTRCJ
33782,A-ROOT TLCJ VSD PULM STNS RPR W/O C OST RIMPLTJ
33783,A-ROOT TLCJ VSD PULM STNS RPR W/RIMPLTJ C OSTIA
33786,TOTAL REPAIR TRUNCUS ARTERIOSUS
33788,REIMPLANTATION ANOMALOUS PULMONARY ARTERY
3378F,AJCC BREAST CANCER STAGE III
33800,Suture of aorta to chest bone
33802,Division of extra arch of aorta
33803,DIVISION ABERRANT VESSEL W/REANASTOMOSIS
3380F,AJCC BREAST CANCER STAGE IV
33813,Closure of aortopulmonary septal defect
33814,OBLTRJ AORTOPULMONARY SEPTAL DEFECT W/BYPASS
33820,Ligation of patent ductus arteriosus
33822,RPR PATENT DUXUS ARTERIOSUS DIV UNDER 18 YR
33824,RPR PATENT DUXUS ARTERIOSUS DIV 18 YR & OLDER
3382F,AJCC COLON CANCER STAGE 0
33840,EXC COARCJ AORTA W/WO PDA W/DIRECT ANASTOMOSIS
33845,Repair of narrowed aorta with graft
3384F,AJCC COLON CANCER STAGE I
33851,EXC COARCJ AORTA W/L SUBCLAV ART/PROSTC GUSSET
33852,Repair of abnormal aortic arch
33853,RPR HYPOPLSTC A-ARCH W/AGRFT/PROSTC W/BYPASS
33858,AS-AORT GRF W/CARD BYP F/AORTIC DISSECTION
33859,AS-AORT GRF W/CARD BYP F/AORTIC DS OTH/THN DSJ
33860,"Ascending aorta graft, with cardiopulmonary bypass, includes valve suspension, when performed (Deprecated) "
33861,
33863,AS-AORT GRF W/CARD BYP & AORTIC ROOT RPLCMT
33864,ASCENDING AORTA GRF VALVE SPARE ROOT REMODEL
33866,Graft to half of aortic artery arch
3386F,AJCC COLON CANCER STAGE II
33870,"Transverse arch graft, with cardiopulmonary bypass (Deprecated) "
33871,TRANSVRS A-ARCH GRF W/CARD BYP PRFD HYPOTHERMIA
33875,DESCENDING THORACIC AORTA GRAFT W/WO BYPASS
33877,Repair of bulging defect (aneurysm) of aorta
33880,EVASC RPR DTA COVERAGE ART ORIGIN 1ST ENDOPROSTH
33881,EVASC RPR DTA EXP COVERAGE W/O ART ORIGIN
33883,PLMT PROX XTN PROSTH EVASC RPR DTA 1ST XTN
33884,PLMT PROX XTN PROSTH EVASC RPR DTA EA PROX XTN
33886,PLMT DSTL XTN PROSTH DLYD AFTER EVASC RPR DTA
33889,OPN SUBCLA CRTD ART TRPOS NCK INC ULAT
3388F,AJCC COLON CANCER STAGE III DOCD
33891,Bypass graft of neck artery
3390F,AJCC COLON CANCER STAGE IV DOCD
33910,PULMONARY ARTERY EMBOLECTOMY W/CARD BYPASS
33915,Pulmonary artery embolectomy
33916,PULMONARY ENDARTERCOMY W/WO EMBOLECTOMY W/BYPASS
33917,RPR PULMONARY ART STENOSIS RCNSTJ W/PATCH/GRAFT
33918,
33919,
33920,RPR PULMONARY ATRESIA W/CONSTJ/RPLCMT CONDUIT
33922,TRANSECTION PULMONARY ARTERY W/CARD BYPASS
33924,LIG&TKDN SYSIC-TO-PULM ART SHUNT W/CGEN HEART
33925,Repair of defect of pulmonary (lung) artery
33926,RPR P-ART ARBORIZJ ANOMAL UNIFCLIZJ W/BYPASS
33927,Implantation of artificial heart
33928,Replacement of artificial heart
33929,Removal of artificial heart
33930,DONOR CARDIECTOMY-PNEUMONECTOMY
33933,BKBENCH PREPJ CADAVER DONOR HEART/LUNG ALLOGRAFT
33935,Transplantation of donor heart and lung
33940,DONOR CARDIECTOMY
33944,BKBENCH PREPJ CADAVER DONOR HEART ALLOGRAFT
33945,Heart transplant
33946,ECMO/ECLS INITIATION VENO-VENOUS
33947,ECMO/ECLS INITIATION VENO-ARTERIAL
33948,ECMO/ECLS DAILY MANAGEMENT EACH DAY VENO-VENOUS
33949,ECMO/ECLS DAILY MANAGEMENT EA DAY VENO-ARTERIAL
3394F,QUANT HER2 IHC EVAL OF BRST CANCER ASCO/CAP
33951,ECMO/ECLS INSJ OF PRPH CANNULA BIRTH-5 YRS PERQ
33952,ECMO/ECLS INSJ OF PRPH CANNULA 6 YRS&OLDER PERQ
33953,ECMO/ECLS INSJ OF PRPH CANNULA BIRTH-5 YRS OPEN
33954,ECMO/ECLS INSJ OF PRPH CANNULA 6 YRS&OLDER OPEN
33955,ECMO/ECLS INSJ OF CENTRAL CANNULA BIRTH-5 YRS
33956,ECMO/ECLS INSJ OF CENTRAL CANNULA 6 YRS & OLDER
33957,ECMO/ECLS REPOS PERIPH CANNULA PERQ BIRTH-5 YRS
33958,ECMO/ECLS REPOS PERPH CANNULA PRQ 6 YRS & OLDER
33959,ECMO/ECLS REPOS PERPH CANNULA OPEN BIRTH-5 YRS
3395F,QUANT NON-HER2 IHC EVAL OF BRST CANCER PERFORMED
33960,Prolonged external circulation of blood flow in heart and lungs (Deprecated) 
33961,Prolonged external circulation of blood flow in heart and lungs (Deprecated) 
33962,ECMO/ECLS REPOS PERPH CANNULA OPEN 6 YRS & OLDER
33963,ECMO/ECLS REPOS CENTRAL PERPH CANNULA BIRTH-5YRS
33964,ECMO/ECLS ECLS REPOS CENTRAL CNULA 6YRS & OLDER
33965,ECMO/ECLS RMVL OF PERPH CANNULA PERQ BIRTH-5 YRS
33966,ECMO/ECLS RMVL OF PRPH CANNULA PRQ 6 YRS & OLDER
33967,INSERTION INTRA-AORTIC BALLOON ASSIST DEV PERQ
33968,REMOVAL INTRA-AORTIC BALLOON ASSIST DEVICE PRQ
33969,ECMO/ECLS RMVL OF PERPH CANNULA OPEN BIRTH-5 YRS
33970,INSJ INTRA-AORT BALO ASSIST DEV VIA FEM ART OPEN
33971,Removal of blood flow assist device in aorta
33973,Insertion of heart blood flow assist device
33974,RMVL ASCENDING-AORTA BALO DEV W/RPR ASCEND-AORTA
33975,INSJ VENTRIC ASSIST DEV XTRCORP SINGLE VENTRICLE
33976,INSJ VENTRIC ASSIST DEV XTRCORP BIVENTRICULAR
33977,REMOVAL VENTR ASSIST DEVICE XTRCORP 1 VENTRICLE
33978,REMOVAL VENTR ASSIST DEVICE XTRCORP BIVENTR
33979,INSJ VENTR ASSIST DEV IMPLTABLE ICORP 1 VNTRC
33980,RMVL VENTR ASSIST DEV IMPLTABLE ICORP 1 VNTRC
33981,RPLCMT XTRCORP VAD 1/BIVENTR PUMP 1/EA PUMP
33982,PLCMT VAD PMP IMPLTBL ICORP 1 VENTR W/O BYPASS
33983,RPLCMT VAD PMP IMPLTBL ICORP 1 VNTR W/BYPASS
33984,ECMO/ECLS RMVL PRPH CANNULA OPEN 6 YRS & OLDER
33985,ECMO/ECLS REMOVAL OF CENTRAL CANNULA BIRTH-5 YRS
33986,ECMO/ECLS RMVL OF CENTRAL CANNULA 6 YRS & OLDER
33987,ARTERY EXPOS/GRAFT ARTERY PERFUSION ECMO/ECLS
33988,INSERT LEFT HEART VENT BY THORACIC INC ECMO/ECLS
33989,RMVL LEFT HEART VENT BY THORACIC INCIS ECMO/ECLS
33990,INSJ PERQ VAD W/RS&I L HRT ARTERIAL ACCESS ONLY
33991,INSJ PERQ VAD W/RS&I L HRT ARTERIAL&VEN ACCESS
33992,REMOVAL PERQ LEFT HRT VAD ARTL/ARTL&VEN SEP INSJ
33993,REPOSITIONING PERQ R/L VAD W/IMG GDN SEP INSJ
33995,INSJ PERQ VAD W/RS&I R HEART VENOUS ACCESS ONLY
33997,REMOVAL PERQ R HEART VAD VENOUS CANNULA SEP INSJ
33999,Heart surgery procedure
34001,EMBLC/THRMBC CATH CRTD SUBCLA/INNOMINATE ART
34051,EMBLC/THRMBC INNOMINATE SUBCLAVIAN ARTERY
34101,EMBLC/THRMBC AX BRACH INNOMINATE SUBCLA ART
34111,Embolectomy of ulnar artery by arm incision
34151,EMBLC/THRMBC RNL CELIAC MESENTRY AORTO-ILIAC ART
34201,EMBLC/THRMBC FEMORAL POPLITEAL AORTO-ILIAC ART
34203,EMBLC/THRMBC POPLITEAL-TIBIO-PRONEAL ART LEG INC
34401,Removal of blood clot in vena cava
34421,Thrombectomy of vena cava by leg incision
34451,THRMBC DIR/W/CATH V/C ILIAC FEMPOP VEIN ABDL&LEG
34471,Removal of blood clot in neck vein
34490,THRMBC DIR/W/CATH AXILL&SUBCLAVIAN VEIN ARM IN
34501,VALVULOPLASTY FEMORAL VEIN
34502,Reconstruction of vena cava
3450F,DYSPNEA SCRND NO-MILD DYSPNEA
34510,Relocation of vein valve to another vein
3451F,DYSPNEA SCRND MOD-SEVERE DYSPNEA
34520,CROSS-OVER VEIN GRAFT VENOUS SYSTEM
3452F,DYSPNEA NOT SCREENED
34530,Saphenopopliteal vein anastomosis 
3455F,TB SCRNG DONE INTRPD </6 MOS START RA THXPY
34701,EVASC RPR DPLMNT AORTO-AORTIC NDGFT
34702,EVASC RPR DPLMNT AORTO-AORTIC NDGFT RPT
34703,EVASC RPR DPLMNT AORTO-UN-ILIAC NDGFT
34704,EVASC RPR DPLMNT AORTO-UN-ILIAC NDGFT RPT
34705,EVASC RPR DPLMNT AORTO-BI-ILIAC NDGFT
34706,EVASC RPR DPLMNT AORTO-BI-ILIAC NDGFT RPT
34707,EVASC RPR DPLMNT ILIO-ILIAC NDGFT
34708,EVASC RPR DPLMNT ILIO-ILIAC NDGFT RPT
34709,PLACEMENT XTN PROSTH FOR ENDOVASCULAR RPR
3470F,RHEUMATOID ARTHRITIS (RA) DISEASE ACTIVITY LOW
34710,DLYD PLACEMENT XTN PROSTH FOR EVASC RPR 1ST VSL
34711,DLYD PLACEMENT XTN PROSTH FOR EVASC RPR EA ADDL
34712,TRANSCATHETER DLVR ENHNCD FIXATION DEVICES RS&I
34713,PERQ ACCESS & CLOSURE FEM ART FOR DELIVERY NDGFT
34714,OPN FEM ART EXPOS W/CNDT CRTJ DLVR EVASC PROSTH
34715,OPN AX/SUBCLA ART EXPOS DLVR EVASC PROSTH UNI
34716,OPN AXILLARY/SUBCLAVIAN ART EXPOS W/CNDT CRTJ
34717,EVASC RPR ILIAC ART TM OF A-ILIAC ART NDGFT UNI
34718,EVASC RPR ILIAC ART N/A A-ILIAC ART NDGFT UNI
3471F,RHEUMATOID ARTHRITIS (RA) DISEASE ACTIVITY MOD
3472F,RHEUMATOID ARTHRITIS (RA) DISEASE ACTIVITY HIGH
3475F,DISEASE PROGNOSIS RA ASSESSED POOR PROG DOCD
3476F,DISEASE PROGNOSIS RA ASSESSED GOOD PROG DOCD
34800,Endovascular repair of infrarenal abdominal aortic aneurysm or dissection; using aorto-aortic tube prosthesis (Deprecated) 
34802,Endovascular repair of infrarenal abdominal aortic aneurysm or dissection; using modular bifurcated prosthesis (1 docking limb) (Deprecated) 
34803,Endovascular repair of infrarenal abdominal aortic aneurysm or dissection; using modular bifurcated prosthesis (2 docking limbs) (Deprecated) 
34804,Endovascular repair of infrarenal abdominal aortic aneurysm or dissection; using unibody bifurcated prosthesis (Deprecated) 
34805,Endovascular repair of infrarenal abdominal aortic aneurysm or dissection; using aorto-uniiliac or aorto-unifemoral prosthesis (Deprecated) 
34806,"Transcatheter placement of wireless physiologic sensor in aneurysmal sac during endovascular repair, including radiological supervision and interpretation, instrument calibration, and collection of pressure data (List separately in additio... (Deprecated) "
34808,Insertion of device to block groin artery
34812,OPN FEM ART EXPOS DLVR EVASC PROSTH UNI
34813,PLMT FEM-FEM PROSTC GRF EVASC AORTIC ARYSM RPR
34820,OPN ILIAC ART EXPOS PROSTH/ILIAC OCCLS EVASC UNI
34825,"Placement of proximal or distal extension prosthesis for endovascular repair of infrarenal abdominal aortic or iliac aneurysm, false aneurysm, or dissection; initial vessel (Deprecated) "
34826,"Placement of proximal or distal extension prosthesis for endovascular repair of infrarenal abdominal aortic or iliac aneurysm, false aneurysm, or dissection; each additional vessel (List separately in addition to code for primary procedure) (Deprecated) "
34830,OPN RPR ARYSM RPR ARTL TRAUMA TUBE PROSTH
34831,OPN RPR ARYSM RPR ARTL TRMA AORTOBIILIAC PROSTH
34832,OPN RPR ARYSM RPR ARTL TRMA AORTO-BIFEM PROSTH
34833,OPN ILIAC ART EXPOS CRTJ PROSTH EST CARD BYP
34834,OPN BRACHIAL ARTERY EXPOS DLVR EVASC PROSTH UNI
34839,PLNNING PT SPEC FENEST VISCERAL AORTIC GRAFT
34841,ENDOVASC VISCER AORTA REPAIR FENEST 1 ENDOGRAFT
34842,ENDOVASC VISCER AORTA REPAIR FENEST 2 ENDOGRAFT
34843,ENDOVASC VISCER AORTA REPAIR FENEST 3 ENDOGRAFT
34844,ENDOVASC VISCER AORTA REPR FENEST 4+ ENDOGRAFT
34845,VISCER AND INFRARENAL ABDOM AORTA 1 PROSTHESIS
34846,VISCER AND INFRARENAL ABDOM AORTA 2 PROSTHESIS
34847,VISCER AND INFRARENAL ABDOM AORTA 3 PROSTHESIS
34848,VISCER AND INFRARENAL ABDOM AORTA 4+ PROSTHESIS
34900,"Endovascular repair of iliac artery (eg, aneurysm, pseudoaneurysm, arteriovenous malformation, trauma) using ilio-iliac tube endoprosthesis (Deprecated) "
3490F,HISTORY OF AIDS-DEFINING CONDITION
3491F,HIV INDETERMINATE INFANTS BORN OF HIV MOTHERS
3492F,HISTORY OF NADIR CD4+ CELL COUNT <350 CELLS/MM3
3493F,NO HIST NADIR CD4+ CELL CNT <350&AIDS CONDITION
3494F,CD4+ CELL COUNT <200 CELLS/MM
3495F,CD4+ CELL COUNT 200-499 CELLS/MM (HIV)
3496F,CD4+ CELL COUNT >= 500 CELLS/MM
3497F,CD4+ CELL PERCENTAGE <15% HIV
3498F,CD4+ CELL PERCENTAGE >= 15% HIV
35001,DIR RPR ANEURYSM CAROTID-SUBCLAVIAN ARTERY
35002,DIR RPR RUPTD ANEURYSM CAROTID-SUBCLAVIAN ARTERY
35005,DIR RPR ANEURYSM VERTEBRAL ARTERY
3500F,CD4+CELL CNT/CD4+CELL % DOCD AS DONE
35011,DIR RPR ANEURYSM AXIL-BRACHIAL ARM INCISION
35013,DIR RPR RUPTD ANEURYSM AXIL-BRACHIAL ARM INCIS
35021,DIR RPR ANEURYSM INNOMINATE/SUBCLAVIAN ARTERY
35022,DIR RPR RUPTD ANEURYSM INNOMINATE/SUBCLAVIAN
3502F,HIV RNA VIRAL LOAD <LIMITS OF QUANTIF
3503F,HIV RNA VIRAL LOAD NOT <LIMITS OF QUANTIF
35045,Direct repair of ulnar artery aneurysm
35081,DIR RPR ANEURYSM ABDOMINAL AORTA
35082,DIR RPR RUPTD ANEURYSM ABDOMINAL AORTA
35091,DIR RPR ANEURYSM ABDOM AORTA W/VISCERAL VESSELS
35092,DIR RPR RUPTD ANEURSM ABDOM AORTA W/VISCERA VSLS
35102,DIR RPR ANEURYSM ABDOM AORTA W/ILIAC VESSELS
35103,DIR RPR RUPTD ANEURYSM ABDOM AORTA W/ILIAC VSLS
3510F,DOCJ TB SCREEN PERFORMED & RESULTS INTERPRET
35111,DIR RPR ANEURYSM SPLENIC ARTERY
35112,DIR RPR RUPTD ANEURYSM SPLENIC ARTERY
3511F,CHLAMYDIA/GONORRHEA TSTS DOCD AS DONE
35121,Direct repair of renal artery aneurysm
35122,Direct repair of ruptured renal artery aneurysm
3512F,SYPHILIS SCREENING DOCUMENTED AS DONE
35131,DIR RPR ANEURYSM & GRAFT ILIAC ARTERY
35132,DIR RPR RUPTD ANEURYSM & GRAFT ILIAC ARTERY
3513F,HEPATITIS B SCREENING DOCUMENTED AS PERFORMED
35141,DIR RPR ANEURYSM & GRAFT COMMON FEMORAL ARTERY
35142,DIR RPR RUPTD ANEURYSM & GRF COMMON FEMORAL ART
3514F,HEPATITIS C SCREENING DOCUMENTED AS PERFORMED
35151,DIR RPR ANEURYSM & GRAFT POPLITEAL ARTERY
35152,DIR RPR RUPTD ANEURYSM & GRF POPLITEAL ARTERY
3515F,PATIENT HAS DOCUMENTED IMMUNITY TO HEPATITIS C
35161,
35162,
3517F,HBV STATUS ASSESSED W/ RESULTS IN 1 YR
35180,REPAIR CONGENITAL AV FISTULA HEAD & NECK
35182,RPR CONGENITAL AV FISTULA THORAX & ABDOMEN
35184,RPR CONGENITAL AV FISTULA EXTREMITIES
35188,RPR/TRAUMATIC AV FISTULA HEAD & NECK
35189,RPR/TRAUMATIC AV FISTULA THORAX & ABDOMEN
35190,RPR/TRAUMATIC AV FISTULA EXTREMITIES
35201,Repair of blood vessel of neck
35206,Repair of blood vessel of arm
35207,Direct repair of blood vessel of hand
3520F,CLOSTRIDIUM DIFFICILE TESTING PERFORMED
35211,RPR BLOOD VESSEL DIRECT INTRATHORACIC W/BYPASS
35216,Repair of blood vessel of chest
35221,Repair of blood vessel of abdomen
35226,Repair of blood vessel of leg
35231,REPAIR BLOOD VESSEL W/VEIN GRAFT NECK
35236,Repair of blood vessel of arm with vein graft
35241,RPR BLOOD VESSEL VEIN GRAFT INTRATHORACIC W/BYP
35246,RPR BLOOD VESSEL VEIN GRF INTRATHORACIC W/O BYP
35251,REPAIR BLOOD VESSEL VEIN GRAFT INTRA-ABDOMINAL
35256,Repair of blood vessel of leg with vein graft
35261,Repair of blood vessel of neck with graft
35266,Repair of blood vessel of arm with graft
35271,RPR BLOOD VSL GRF OTH/THN VEIN INTRATHRC W/BYP
35276,Repair of blood vessel of chest with graft
35281,Repair of blood vessel of abdomen with graft
35286,Repair of blood vessel of leg with graft
35301,Carotid thromboendarterectomy by neck incision
35302,TEAEC W/GRAFT SUPERFICIAL FEMORAL ARTERY
35303,TEAEC W/GRAFT POPLITEAL ARTERY
35304,TEAEC W/GRAFT TIBIOPERONEAL TRUNK ARTERY
35305,TEAEC W/GRAFT TIBIAL/PERONEAL ART 1ST VESSEL
35306,TEAEC W/GRAFT EA ADDL TIBIAL/PERONEAL ART
35311,TEAEC W/WO PATCH GRF SUBCLAV INNOM THORACIC INC
35321,TEAEC W/WO PATCH GRF AXILLARY-BRACHIAL
35331,Abdominal aortic thromboendarterectomy
35341,Renal thromboendarterectomy
35351,Iliac thromboendarterectomy
35355,iliofemoral thromboendarterectomy
35361,Combined aortoiliac thromboendarterectomy
